assign_analysis_{CN}_{issue_year}_base,
ROOT,_
ROOT,,SUM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
7RDD, _,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,
8TH_RESEARCH_INSTITUTE_CHINA_ELECTRONICS_TECHNOLOGY_GROUP, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
9_SOLUTIONS_TECHNOLOGY, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
AAC_ACOUSITC_TECHNOLOGIES_SHANGHAI_CO, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
AAC_ACOUSITIC_TECHNOLOGIES_SHANGHAI, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_CHANGZHOU, _,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_CHANZHOU, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_SHANGHAI, _,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_SHANGHAI_CO, _,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_SHENZHEN, _,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,23,19,15,4,25,43,16,19,28,25,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_SHENZHEN_CO, _,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
AAC_ACOUSTIC_TECHNOLOGIES_SUZHOU, _,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
AAC_COMMUNCATION_TECHNOLOGIES_CHANGZHOU, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
AAC_COMMUNICATION_TECHNOLOGIES_CHANGZHOU, _,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
AAC_KAITAI_TECHNOLOGIES_WUHAN, _,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,7,0,0,0,0,
AAC_KAITAL_TECHNOLOGIES_WUHAN, _,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,
AAC_MICROTECH_CHANGZHOU, _,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,1,1,1,0,0,5,57,76,34,0,0,0,0,
AAC_MICROTECH_CHANGZHOU_CO, _,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,
AAC_OPTICS_CHANGZHOU, _,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,31,16,3,0,0,0,0,
AAC_OPTICS_CHONGQING, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
AAC_OPTICS_NANNING, _,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,
AAC_OPTICS_SUZHOU, _,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,34,10,0,0,0,0,
AAC_TECHNOLOGIES_HOLDINGS, _,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AAC_TECHNOLOGIES_NANJING, _,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,2,10,0,0,0,0,
AAC_TECHNOLOGIES_NANNING, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
AAC_TECHNOLOGIES_PTE, _,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,
AARHUS_UNIVERSITET, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ABA_CHEMICALS, _,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
ABA_CHEMICALS_NANTONG, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ABA_CHEMICALS_SHANGHAI, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ABBISKO_THERAPEUTICS, _,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,
ABB_BEIJING_DRIVE_SYSTEMS, _,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,
ABB_SCHWEIZ_AG, _,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,
ABC_FINTECH, _,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,
ABC_FINTECH_CO, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ABDOOLALLY_EBRAHIM_HOUSEWARES, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
ABELLSTAR_TECHNOLOGY, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ABILITY_OPTO_ELECTRONICS_TECHNOLOGY, _,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
