1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
C10J,41,3,3,5,5,3,3,3,4,3,4,5
C10K,9,0,1,1,1,0,0,3,0,1,1,1
C10L,101,16,11,18,13,10,9,6,7,5,5,1
C10M,585,53,56,52,57,41,35,48,64,76,54,49
C10N,2,0,0,0,0,0,1,0,1,0,0,0
C11B,54,4,5,5,3,4,3,8,5,11,5,1
C11C,19,0,3,0,0,0,1,4,2,5,1,3
C11D,257,23,22,16,14,19,22,26,32,28,30,25
C12C,16,2,0,4,0,1,1,4,1,3,0,0
C12G,6,0,0,2,0,0,0,1,1,0,1,1
C12H,3,0,0,0,0,0,0,1,1,0,1,0
C12M,404,43,38,36,31,33,46,46,33,36,27,35
C12N,1681,171,174,166,147,163,155,176,134,162,127,106
C12P,619,102,80,75,67,66,57,53,47,28,23,21
C12Q,755,91,95,93,72,51,60,87,65,44,51,46
C12R,5,2,2,0,0,0,0,0,0,0,1,0
C13B,4,0,1,0,2,1,0,0,0,0,0,0
C13K,19,0,3,2,5,3,2,4,0,0,0,0
C14B,1,0,0,0,0,0,0,0,0,0,1,0
C14C,6,0,1,0,0,1,1,1,0,1,0,1
C21B,48,1,6,4,6,8,6,2,5,3,3,4
C21C,32,2,5,4,1,2,4,1,3,4,2,4
C21D,886,37,53,46,64,61,133,121,111,110,65,85
C22B,197,24,28,32,22,21,25,12,3,8,11,11
C22C,1719,150,140,138,176,202,161,133,133,180,128,178
C22F,178,9,12,19,19,15,26,24,14,16,15,9
C23C,2499,249,262,238,252,207,255,236,213,210,167,210
C23F,161,33,23,20,16,10,9,10,13,9,11,7
C23G,17,2,2,3,0,2,1,2,2,0,1,2
C25B,360,34,26,25,26,33,45,38,34,36,29,34
C25C,38,3,1,4,4,3,6,5,3,3,5,1
C25D,516,36,31,31,55,35,52,52,57,55,52,60
C25F,31,5,2,2,3,3,3,5,3,2,2,1
C30B,870,69,74,61,97,115,88,81,75,79,59,72
C40B,38,5,4,6,4,0,4,1,3,1,5,5
D01B,5,0,0,0,0,0,0,0,0,0,2,3
D01C,3,1,1,0,0,0,1,0,0,0,0,0
D01D,63,11,5,8,1,3,6,5,6,10,5,3
D01F,169,12,9,10,21,17,14,17,11,14,16,28
D01G,10,0,2,0,2,0,1,0,3,0,1,1
D01H,12,1,1,0,0,3,4,0,1,1,0,1
D02G,70,7,6,2,6,9,7,4,7,5,6,11
D02H,0,0,0,0,0,0,0,0,0,0,0,0
D02J,21,3,2,4,2,2,1,2,3,2,0,0
D03C,3,0,0,1,0,0,0,1,0,0,1,0
D03D,131,6,11,7,8,10,16,14,14,14,19,12
D03J,2,0,0,0,0,0,1,0,0,0,0,1
D04B,74,4,0,6,10,11,9,13,8,4,3,6
D04C,17,3,1,0,1,1,4,1,0,2,4,0
D04D,2,0,0,0,0,0,1,0,1,0,0,0
D04G,1,0,1,0,0,0,0,0,0,0,0,0
D04H,133,6,13,10,18,11,19,8,15,6,11,16
D05B,345,46,36,36,32,24,26,29,33,26,25,32
D05C,80,21,6,5,4,7,4,8,6,6,7,6
D06B,5,1,1,0,0,1,0,0,0,1,0,1
D06C,15,2,0,1,3,4,0,1,1,2,1,0
D06F,82,4,5,4,4,10,14,15,13,6,1,6
D06H,1,0,0,0,0,0,0,0,1,0,0,0
D06J,1,0,0,0,0,0,0,0,0,0,1,0
D06L,2,0,0,0,1,0,0,0,0,0,1,0
D06M,114,7,5,3,9,18,11,10,8,9,12,22
D06N,65,2,3,3,3,4,8,10,7,8,6,11
D06P,35,1,3,2,5,3,3,8,3,3,3,1
D06Q,2,0,0,0,2,0,0,0,0,0,0,0
D07B,32,1,3,1,1,3,1,3,1,3,12,3
D21B,30,2,0,0,5,2,3,4,3,3,4,4
D21C,38,5,3,1,1,2,5,3,9,1,5,3
D21D,18,0,2,5,1,0,2,1,3,1,1,2
D21F,105,11,11,6,8,12,3,8,13,7,19,7
D21G,6,2,0,0,0,0,0,1,0,2,0,1
D21H,139,8,7,7,11,8,13,12,10,33,15,15
D21J,3,0,0,0,0,0,0,0,0,2,1,0
E01B,14,3,2,0,0,3,0,3,2,0,1,0
E01C,34,3,2,3,2,4,1,0,3,8,3,5
E01D,6,0,2,1,0,1,0,1,1,0,0,0
E01F,16,1,1,0,1,1,0,2,4,2,0,4
E01H,30,1,6,5,4,3,2,2,1,1,2,3
E02B,36,2,7,5,3,3,3,3,3,3,0,4
E02D,44,7,4,8,1,2,6,5,3,4,3,1
E02F,1363,39,75,93,102,80,121,128,151,177,140,257
E03B,13,0,2,2,1,1,3,0,0,1,3,0
E03C,39,2,4,4,4,4,8,2,2,3,2,4
E03D,250,6,8,17,17,26,46,33,20,33,22,22
E03F,6,1,0,0,2,1,2,0,0,0,0,0
E04B,156,21,14,5,17,9,15,14,16,10,20,15
E04C,56,8,4,6,9,6,4,4,6,5,3,1
E04D,21,3,3,1,3,0,5,3,0,2,0,1
E04F,37,3,2,2,6,7,6,2,2,2,2,3
E04G,82,3,6,3,4,4,7,10,11,11,6,17
E04H,82,7,7,7,10,6,8,7,4,7,7,12
E05B,387,24,22,15,26,25,53,41,29,45,49,58
E05C,138,35,23,24,19,17,8,2,1,3,1,5
E05D,97,13,6,11,7,6,7,16,12,8,2,9
E05F,322,20,26,25,21,20,51,35,38,41,19,26
E05G,8,1,0,1,0,0,3,0,0,2,0,1
E06B,198,23,10,11,13,13,29,22,31,26,12,8
E06C,3,1,0,0,0,0,1,1,0,0,0,0
