1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
C05B,5,0,0,0,0,0,1,1,1,0,1,1
C05C,4,0,0,0,0,0,0,1,0,0,0,3
C05D,5,1,1,0,0,0,0,0,1,0,1,1
C05F,21,2,0,1,1,2,2,4,2,1,3,3
C05G,22,0,0,1,1,0,0,4,2,3,5,6
C06B,4,0,0,1,0,0,0,1,0,0,1,1
C06D,1,0,0,0,0,0,0,0,0,0,0,1
C07B,6,0,0,0,1,0,2,0,1,0,0,2
C07C,766,58,60,73,50,64,65,85,89,75,64,83
C07D,1948,62,92,121,156,156,197,228,242,271,206,217
C07F,197,5,18,10,10,9,15,19,21,29,27,34
C07G,2,0,1,0,0,0,0,0,0,0,1,0
C07H,173,8,11,9,12,12,22,25,22,16,19,17
C07J,63,4,7,3,7,8,2,8,12,2,4,6
C07K,740,15,25,43,38,38,51,73,90,117,110,140
C08B,68,0,2,2,2,2,7,8,8,12,15,10
C08C,4,1,0,0,0,0,0,1,0,1,0,1
C08F,238,6,26,26,23,10,13,18,22,32,22,40
C08G,313,22,23,21,21,30,26,31,25,39,40,35
C08H,3,0,0,0,0,0,0,0,0,2,0,1
C08J,146,1,5,3,5,11,10,11,19,20,20,41
C08K,103,5,6,11,8,7,14,8,13,5,12,14
C08L,222,3,11,10,15,12,16,20,24,35,33,43
C09B,24,0,1,3,1,0,1,2,4,3,2,7
C09C,15,0,2,0,0,1,2,1,4,0,2,3
C09D,173,6,12,12,11,11,11,14,22,19,24,31
C09F,2,1,0,0,0,0,0,0,0,0,1,0
C09G,6,0,0,0,0,1,0,0,2,0,1,2
C09H,2,0,0,0,0,1,0,1,0,0,0,0
C09J,101,1,1,3,6,9,16,7,7,14,15,22
C09K,607,20,48,42,48,39,49,51,68,92,66,84
C10B,34,2,2,3,1,8,4,3,1,4,2,4
C10C,2,0,0,0,0,1,0,0,0,0,0,1
C10G,125,6,7,12,11,8,19,13,9,16,11,13
C10J,34,0,3,3,2,5,1,4,3,6,5,2
C10K,0,0,0,0,0,0,0,0,0,0,0,0
C10L,32,1,5,1,4,2,1,3,4,3,0,8
C10M,34,1,1,4,2,2,3,1,8,4,3,5
C11B,11,0,1,0,0,2,1,1,2,0,3,1
C11C,4,0,1,0,0,1,0,1,0,0,1,0
C11D,18,1,2,2,1,2,1,1,0,1,5,2
C12C,1,0,0,0,0,0,0,0,0,0,1,0
C12G,4,0,1,0,0,0,1,0,1,1,0,0
C12M,72,4,1,0,4,4,7,9,14,9,9,11
C12N,871,24,31,40,37,67,88,75,100,142,131,136
C12P,258,15,9,11,15,16,15,23,29,50,24,51
